ts,container,mem_mb,mem_pct,cpu_pct
1776550540,mft-dmz-proxy-internal,251.4,1.05,0.17
1776550540,mft-ftp-web-ui,8.4,0.04,0.00
1776550540,mft-partner-portal,9.0,0.04,0.00
1776550540,mft-spire-agent,35.0,0.15,0.08
1776550540,mft-notification-service,505.8,56.46,0.77
1776550540,mft-platform-sentinel,675.0,75.33,0.44
1776550540,mft-ai-engine,681.6,76.07,0.47
1776550540,mft-sftp-service,717.5,80.08,4.02
1776550540,mft-license-service,621.8,69.40,0.47
1776550540,mft-ftp-service,665.9,74.32,2.23
1776550540,mft-screening-service,679.0,75.79,0.34
1776550540,mft-forwarder-service,667.9,74.54,0.81
1776550540,mft-as2-service,656.1,2.73,0.77
1776550540,mft-onboarding-api,674.4,75.26,2.24
1776550540,mft-storage-manager,565.5,63.11,0.42
1776550540,mft-keystore-manager,701.8,78.33,0.35
1776550540,mft-ftp-web-service,646.4,72.14,0.39
1776550540,mft-analytics-service,690.7,77.09,5.31
1776550540,mft-config-service,639.0,71.32,1.48
1776550540,mft-gateway-service,623.1,69.54,3.86
1776550540,mft-grafana,59.7,0.25,0.05
1776550540,mft-encryption-service,664.7,74.18,3.85
1776550540,mft-promtail,57.0,0.24,0.56
1776550540,mft-postgres,235.5,0.98,0.70
1776550540,mft-rabbitmq,163.7,0.68,1.38
1776550540,mft-redis,11.0,0.05,0.53
1776550540,mft-prometheus,76.5,0.32,0.63
1776550540,mft-spire-server,33.6,0.14,3.89
1776550540,mft-loki,193.8,0.81,0.97
1776550540,mft-alertmanager,20.7,0.09,0.14
1776550540,mft-vault,140.5,0.59,0.47
1776550540,mft-redpanda,182.5,0.76,0.16
1776550602,mft-api-gateway,14.8,0.06,1.06
1776550602,mft-edi-converter,212.2,23.68,2.61
1776550602,mft-ui-service,9.3,0.04,1.12
1776550602,mft-dmz-proxy-internal,251.7,1.05,1.59
1776550602,mft-ftp-web-ui,8.4,0.04,1.20
1776550602,mft-partner-portal,9.0,0.04,1.27
1776550602,mft-spire-agent,35.0,0.15,0.03
1776550602,mft-notification-service,506.4,56.52,10.52
1776550602,mft-platform-sentinel,675.0,75.34,2.56
1776550602,mft-ai-engine,681.6,76.07,2.95
1776550602,mft-sftp-service,723.6,80.76,4.76
1776550602,mft-license-service,621.8,69.40,7.23
